orginal,translation
어져 어져 저긔 가 저 ,어져 어져 저기 가는 저 사람아
네 行色 보아니 군軍士 도망逃亡 네로고나,네 행색을 보아하니 군역을 피해 도망하는 너로구나
뇨상腰上으로 볼시면 뵈젹이 깃 남고,허리 위로 볼 것 같으면 베적삼이 깃만 남고
허리 아 구버 보니 헌 방이 노닥노닥,허리 아래 굽어보면 헌 잠방이 노닥노닥
곱장 할미 압희 가고 전발이 뒤예 간,허리굽은 할미 앞에 가고 절름발이 뒤에 간다
십니十里 길을 할 가니 몃 니 가셔 업쳐디리,심 리 갈을 하루에 가니 몇 리 가서 엎어지리
내 고을의 양반兩班 사 도他道 관他官온겨 살면,내 고을의 양반 사람 타도나 타관에 옮겨 살면
천賤이 되기 상여든,천하게 되기 일상사거든
본토本土 군청軍丁 슬타 ꢀ고  ꢁ 도방逃亡ꢀ면,본토의 군정 싫다 하고 자네 또한 도망하면
일국一國 일토一土 ꢁ 인심人心의 근본根本 슘겨 살녀 ꢁ들,나라 어느 곳 땅 한 인심에 근본 숨기고 살려고 한들
어 간 면손가,어디 간들 면할까
라리 네 던 곳의 아모케나 희 박여,차라리 네 살던 곳에 아무렇게 뿌리 박혀
칠팔월七八月의 採蔘ꢀ고 구십월九十月의 돈피㹠皮 잡아,칠팔월에 삼을 캐고 구시월에 담비 잡아
공公債 신역身役 갑흔 후의 그 남저지 두엇,공채 신역 값은 후에 그 나머지 두었다가
함흥咸興 북청北靑 홍원洪原 장 도라드러 潛賣 제,함흥 북청 홍원 장사 돌아들어 잠매할 때
후厚價 밧고 파여 살기 됴흔 너른 곳의,후한 값 받고 팔아내어 살기 좋은 넓은 곳에
가家舍 뎐토田土 곳처 고 가장즙물家庄汁物 장ꢀ여,가사 전토 다시 사고 가장집물 장만하여
부모父母 처妻子 보전保全ꢀ고 새 즐거믈 누리려믄,부모 처자 보전하고 새 즐거움 누리려마
어와 원生員인디 초관哨官인지,어와 생원인지 초관인지
그 말 그만두고 이 말 드러보소,그대 말씀 그만 두고 이내 말씀 들어보소
이 한 갑민甲民이라,이내 또한 갑산 백성이라
이 의셔 장生長ꢀ니 이  일을 모를소냐,이 땅에서 나고 자랐으니 이 때 일을 모를까
우리 조상祖上 남듕南中 양반兩班 딘進士 급뎨及第 연면連綿ꢀ여,우리 조산 남쪽 양반 진사 급제 이어져서
금댱金章 옥玉 빗기 고 시종신侍從臣을 니다가,금장 옥패 옆에 차고 시종신을 다니다가
싀긔猜忌人의 참소 입어 전가全家 변徙邊 ꢀ온 후의,시기하는 사람의 참소로 온 집안이 변방으로 옮겨진 후에
국國內 극변極邊 이 의서 칠팔七八代을 오니,나라의 변방 이 땅에서 칠팔대를 살아오니
선음先蔭 이어 ꢀ난 일이 읍듕邑中 구실 첫로,선대의 음덕을 이어 하는 일이 읍중 역할 첫째로다
드러면 좌수座首 별감別監 나셔 풍헌風憲 감관監官,들어가면 좌수 별감 나가서는 풍헌 감관
유有司 장의掌儀 지 면 톄면 보아 양터니,유사 장의 차지나면 체면 보아 사양했는데
애슬푸다 내 시졀의 원슈인怨讐人의 모謀害로서,슬프도다 내 시절에 원수인의 모해로
군軍士 강졍降定 되단 말,군사로 신분이 떨어졌단 말인가
내 ꢁ 몸이 허러 나니 좌우左右 전후前後 수數多 일一家,내 함 몸이 나쁘게 되니 좌우 전후의 수다 친척
次次 츙군充軍 되거고야,차차 군역에 충당하게 되었구나
누累代 봉奉祀 이  몸은  일 업시 와 잇고,여러 대 제사를 지내던 이 내 몸은 할 일 없이 매어 있고
시름 업슨 졔諸 됵인族人은 최 업시 도망逃亡하고,시름 없는 여러 친척들은 차취 없이 도망하고
여러  모 신역身役  ꢁ 몸의 모도 무니,여러 사람 노든 신역 내 한 몸에 모두 물게 되니
ꢁ몸 신역身役 양三兩 오전五戔 돈피㹠皮 이장二張 의법依法이라,한 몸 신역 3냥 5전 담비가죽 두 장이 법이라
십이인명十二人名 업 구실 합合처 보면 십뉵냥四十六兩,열두 사람 없는 책임 합쳐 보면 46냥
연부연年復年의 맛 무니 석슝石崇인들 당當소냐,해마다 맡아 무니 석숭인들 당할까
약간 농 전폐全廢ꢀ고 採蔘ꢀ려 닙入山ꢀ여,약간 농사 전폐하고 삼을 캐러 입산하여
허항영虛項嶺 보寶泰山을 돌고 돌아 보니,하항령 보태산을 돌고 돌아 찾아보니
인人蔘 싹슨 전혀 업고 오五加 닙히 날 소긴다,인삼 싻은 전혀 없고 오가피 잎이 날 속인다
일 업시 공반空返ꢀ여 팔구월八九月 고추苦椒바람,할 일 없이 헛되이 돌아와 팔구월 차가운 바람
안고 도라 입入山ꢀ여 돈피㹠皮 山行 ꢀ랴 ꢀ고,안고 돌아 입산하여 담비 사냥 하려 하고
두白頭山 등의 디고 분계강ꢀ分界江下 나려가셔,백두산 등에 지고 분계강 가로 내려가서
살이 거 누 치고 익갈나무 무등 높고,싸리나무 꺾어 기둥 만들고 이깔나무 지붕 올려
ꢀ님게 츅수ꢀ며 신山神임게 발원ꢀ여,하느님께 축수하며 산신님께 발월하여
물츌을 초 곳고 망 일기 원망ꢀ되,긴 끈을 갖추어 꽂고 이루어지길 바라되
 뎡성精誠이 불급不及ꢁ디 망 실이 아니 붓,내 정성이 미치지 못했는지 소망 실이 아니 이루어졌네
뷘손으로 도라서니 디연三池淵이 잘 이라,빈손으로 돌아서니 삼지연이 잠잠하더라
닙동立冬 지 일三日 후後의 일야설一夜雪이 못 오니,입동 지난 삼일 후에 밤에 눈이 제법 오니
대 깁희 ꢀ마 너머 오보四五步을 못 옴길,큰 자 깊이 하마 넘어 사오 보를 못 옮기네
양딘粮盡ꢀ고 의박衣薄ꢀ니 압희 근심 다 티고,양식이 떨어지고 옷은 얊으니 앞에 근심 다 떨치고
목슘 려 욕심ꢀ여 디위ꢁ至死爲限 길을 허여,목숨 살려고 마음먹고 죽을 지경에 길을 나서
인처人家處를  오니 검천劒川 거이巨里 첫 목이라,인가처를 찾아 오니 검천 거리 첫 길목이라
